,Name,2017 NAICS Code,Emissions (tCO2e),2017 NAICS Title,FRS ID (FACILITY),REPORTING YEAR,FACILITY NAME,FACILITY ADDRESS,FACILITY CITY,FACILITY STATE,FACILITY ZIP,FACILITY COUNTY,PARENT CO. STREET ADDRESS,PARENT CO. CITY,PARENT CO. STATE,PARENT CO. ZIP,PARENT CO. PERCENT OWNERSHIP,FACILITY NAICS CODE,PARENT EMISSIONS AMT,symbol,exchange,exchangeSuffix,exchangeName,exchangeSegment,exchangeSegmentName,date,type,iexId,region,currency,isEnabled,figi,cik,lei,marketcap,week52high,week52low,week52highSplitAdjustOnly,week52lowSplitAdjustOnly,week52change,sharesOutstanding,float,avg10Volume,avg30Volume,day200MovingAvg,day50MovingAvg,employees,ttmEPS,ttmDividendRate,dividendYield,nextDividendDate,exDividendDate,nextEarningsDate,peRatio,beta,maxChangePercent,year5ChangePercent,year2ChangePercent,year1ChangePercent,ytdChangePercent,month6ChangePercent,month3ChangePercent,month1ChangePercent,day30ChangePercent,day5ChangePercent
COEUR MINING INC,Coeur Alaska Inc Kensington Gold Mine,212221,45006.118,Gold Ore Mining ,110055091699.0,2020,Coeur Alaska Inc Kensington Gold Mine,58.840829 North 135.044064 West,Juneau,AK,99801,JUNEAU CITY AND BOROUGH,"104 S. Michigan Avenue, Suite 900",Chicago,IL,60603,100.0,212221,45006.117999999995,CDE,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_4C304E5138472D52,US,USD,True,BBG000BF8TF5,215466.0,5493003AVK173D48DR70,1471556814,11.14,4.12,11.14,4.12,-0.458376156217882,279232792,0,5257268,5772106,5.36,4.65,1959,-0.1253,0.0,0.0,,,2022-05-04,-46.98157249984036,0.800778996220265,-0.618115942028985,-0.46334012219959203,0.24881516587677702,-0.469284994964753,0.04563492063492,-0.17138364779874202,0.035363457760314,0.21990740740740702,0.17111111111111102,0.138228941684665
COMPASS MINERALS INTERNATIONAL INC,NORTH AMERICAN SALT CO,325998,55097.092,All Other Miscellaneous Chemical Product and Preparation Manufacturing ,110022447066.0,2020,NORTH AMERICAN SALT CO,1662 AVE N,LYONS,KS,67554,RICE COUNTY,9900 W 109th Street Ste. 100,Overland Park,KS,66210,100.0,325998,55097.09199999999,CMP,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_4848483256592D52,US,USD,True,BBG000C42WS4,1227654.0,2549008X9G8XP7YJGC47,2232587789,75.04,46.85,75.44,47.1,0.000363268931959,34064507,0,287522,346849,59.15,61.75,3229,1.83,1.724193229896593,0.026307495115907003,,2022-03-09,2022-05-03,36.00948046419355,0.715332241519518,2.218772407154574,0.178285319794618,0.7287812804165531,0.010574488622171,0.286301109076528,-0.115415710076621,0.20315382709023602,0.065517801983417,0.07742890021371,0.06673177083333301
COMPASS MINERALS INTERNATIONAL INC,Compass Minerals Ogden Inc,212393,101743.016,Other Chemical and Fertilizer Mineral Mining ,110000469920.0,2020,Compass Minerals Ogden Inc,765 N 10500 W,Ogden,UT,84404,WEBER COUNTY,"9900 W 109th Street, Suite 100",Overland Park,KS,66210,100.0,212393,101743.016,CMP,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_4848483256592D52,US,USD,True,BBG000C42WS4,1227654.0,2549008X9G8XP7YJGC47,2232587789,75.04,46.85,75.44,47.1,0.000363268931959,34064507,0,287522,346849,59.15,61.75,3229,1.83,1.724193229896593,0.026307495115907003,,2022-03-09,2022-05-03,36.00948046419355,0.715332241519518,2.218772407154574,0.178285319794618,0.7287812804165531,0.010574488622171,0.286301109076528,-0.115415710076621,0.20315382709023602,0.065517801983417,0.07742890021371,0.06673177083333301
CONAGRA BRANDS INC,ConAgra Foods Inc.,311421,67108.948,Fruit and Vegetable Canning ,110002408608.0,2020,ConAgra Foods Inc.,554 S. Yosemite Ave.,Oakdale,CA,95361,STANISLAUS COUNTY,9 Conagra Drive,Omaha,NE,68102,100.0,311421,67108.948,CAG,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_444A433630522D52,US,USD,True,BBG000BDXGP9,23217.0,54930035UDEIH090K650,17093156583,38.02,30.06,39.09,30.06,-0.017322382813901003,479875255,0,5607590,5816386,33.28,33.24,16500,2.15,1.196477759573574,0.033590055013295005,2022-04-28,2022-01-28,2022-07-12,16.454713691855986,0.14155629903330602,1.526509912402028,0.017757903910167003,0.15370663073614302,-0.01810794196858,0.052342362836538,0.09122881187178501,0.023569100971844,0.11907005969211401,0.12365930599369002,0.032463768115941004
CONAGRA BRANDS INC,ConAgra Foods Inc.,311422,35961.464,Specialty Canning ,110001039705.0,2020,ConAgra Foods Inc.,30 MARR STREET,MILTON,PA,17847,NORTHUMBERLAND COUNTY,9 Conagra Drive,Omaha,NE,68102,100.0,311422,35961.464,CAG,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_444A433630522D52,US,USD,True,BBG000BDXGP9,23217.0,54930035UDEIH090K650,17093156583,38.02,30.06,39.09,30.06,-0.017322382813901003,479875255,0,5607590,5816386,33.28,33.24,16500,2.15,1.196477759573574,0.033590055013295005,2022-04-28,2022-01-28,2022-07-12,16.454713691855986,0.14155629903330602,1.526509912402028,0.017757903910167003,0.15370663073614302,-0.01810794196858,0.052342362836538,0.09122881187178501,0.023569100971844,0.11907005969211401,0.12365930599369002,0.032463768115941004
CONAGRA BRANDS INC,Conagra - Russellville,311615,36944.46,Poultry Processing ,110000453223.0,2020,Conagra - Russellville,3100 E. MAIN ST.,Russellville,AR,72802,POPE COUNTY,9 Conagra Drive,Omaha,NE,68102,100.0,311615,36944.46,CAG,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_444A433630522D52,US,USD,True,BBG000BDXGP9,23217.0,54930035UDEIH090K650,17093156583,38.02,30.06,39.09,30.06,-0.017322382813901003,479875255,0,5607590,5816386,33.28,33.24,16500,2.15,1.196477759573574,0.033590055013295005,2022-04-28,2022-01-28,2022-07-12,16.454713691855986,0.14155629903330602,1.526509912402028,0.017757903910167003,0.15370663073614302,-0.01810794196858,0.052342362836538,0.09122881187178501,0.023569100971844,0.11907005969211401,0.12365930599369002,0.032463768115941004
CONSOL ENERGY INC,Bailey Mine-Crabapple Portal,212112,2161828.19,Bituminous Coal Underground Mining ,110054620978.0,2020,Bailey Mine-Crabapple Portal,192 Crabapple Rd.,Wind Ridge,PA,15380,GREENE COUNTY,1000 CONSOL Energy Drive,Canonsburg,PA,15317-6505,100.0,212112,2161828.19,CEIX,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_5851464D4C382D52,US,USD,True,BBG00HC114X0,1710366.0,549300YJCTPJBTK7IJ81,1698214920,49.39,8.65,49.39,8.65,4.129337539432177,34813754,0,934905,860650,28.34,36.36,1494,0.9639000000000001,0.0,0.0,,,2022-05-03,49.78642392612137,0.98065124858397,1.274125874125874,1.274125874125874,7.966911764705882,3.878,1.147952443857331,0.49357011635027503,0.9099451840250581,0.559462915601022,0.626542180726909,0.255921730175077
CONSOL ENERGY INC,Enlow Fork Mine,212112,2166956.228,Bituminous Coal Underground Mining ,110055514368.0,2020,Enlow Fork Mine,2041 Pleasant Grove Rd.,Claysville,PA,15323,WASHINGTON COUNTY,1000 Consol Energy Dr,Canonsburg,PA,15317,100.0,212112,2166956.228,CEIX,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_5851464D4C382D52,US,USD,True,BBG00HC114X0,1710366.0,549300YJCTPJBTK7IJ81,1698214920,49.39,8.65,49.39,8.65,4.129337539432177,34813754,0,934905,860650,28.34,36.36,1494,0.9639000000000001,0.0,0.0,,,2022-05-03,49.78642392612137,0.98065124858397,1.274125874125874,1.274125874125874,7.966911764705882,3.878,1.147952443857331,0.49357011635027503,0.9099451840250581,0.559462915601022,0.626542180726909,0.255921730175077
CONSOL ENERGY INC,CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,211130,230367.524,Natural Gas Extraction ,110043748424.0,2020,CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1000 Consol Energy Drive,Canonsburg,PA,15317,WASHINGTON COUNTY,1000 Consol Energy Drive,Canonsburg,PA,15317,100.0,211130,230367.52400000003,CEIX,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_5851464D4C382D52,US,USD,True,BBG00HC114X0,1710366.0,549300YJCTPJBTK7IJ81,1698214920,49.39,8.65,49.39,8.65,4.129337539432177,34813754,0,934905,860650,28.34,36.36,1494,0.9639000000000001,0.0,0.0,,,2022-05-03,49.78642392612137,0.98065124858397,1.274125874125874,1.274125874125874,7.966911764705882,3.878,1.147952443857331,0.49357011635027503,0.9099451840250581,0.559462915601022,0.626542180726909,0.255921730175077
CONSOL ENERGY INC,Harvey Mine,212112,1637124.94,Bituminous Coal Underground Mining ,110063524066.0,2020,Harvey Mine,,Richhill,PA,15380,GREENE COUNTY,1000 CONOSL Energy Drive,Canonsburg,PA,15317,100.0,212112,1637124.94,CEIX,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_5851464D4C382D52,US,USD,True,BBG00HC114X0,1710366.0,549300YJCTPJBTK7IJ81,1698214920,49.39,8.65,49.39,8.65,4.129337539432177,34813754,0,934905,860650,28.34,36.36,1494,0.9639000000000001,0.0,0.0,,,2022-05-03,49.78642392612137,0.98065124858397,1.274125874125874,1.274125874125874,7.966911764705882,3.878,1.147952443857331,0.49357011635027503,0.9099451840250581,0.559462915601022,0.626542180726909,0.255921730175077
CONSOL ENERGY INC,CONSOL Energy Itmann #5,212112,1773.5,Bituminous Coal Underground Mining ,,2020,CONSOL Energy Itmann #5,1201 Still Run,Itmann,WV,24847,,1000 CONSOL Energy Drive Suite 100,Canonsburg,PA,15317,100.0,212112,1773.5,CEIX,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_5851464D4C382D52,US,USD,True,BBG00HC114X0,1710366.0,549300YJCTPJBTK7IJ81,1698214920,49.39,8.65,49.39,8.65,4.129337539432177,34813754,0,934905,860650,28.34,36.36,1494,0.9639000000000001,0.0,0.0,,,2022-05-03,49.78642392612137,0.98065124858397,1.274125874125874,1.274125874125874,7.966911764705882,3.878,1.147952443857331,0.49357011635027503,0.9099451840250581,0.559462915601022,0.626542180726909,0.255921730175077
CORTEVA INC,DOW AGROSCIENCES HARBOR BEACH,325320,56791.336,Pesticide and Other Agricultural Chemical Manufacturing,110000758298.0,2020,DOW AGROSCIENCES HARBOR BEACH,305 NORTH HURON,HARBOR BEACH,MI,48441,HURON COUNTY,305 North Huron Ave,Harbor Beach,MI,48441,100.0,325320,56791.336,CTVA,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_4E48563451372D52,US,USD,True,BBG00BN969C1,1755672.0,549300WZN9I2QKLS0O94,44340457641,61.74,40.25,61.74,40.6,0.299381723464478,726773605,0,2668236,3884066,48.88,56.12,2020,2.37,0.547709007038647,0.008977364481866,,2022-02-28,2022-05-04,25.20776443493462,0.7629609050054881,1.103793103448275,1.103793103448275,1.460884401760252,0.29883677362218103,0.29389234459400704,0.41013047347193404,0.258750492585936,0.10947444989998101,0.11413440467494501,0.022971160295103002
CORTEVA INC,Corteva agriscience - Pittsburg Operations,325199,40855.896,All Other Basic Organic Chemical Manufacturing ,110000602544.0,2020,Corteva agriscience - Pittsburg Operations,901 LOVERIDGE ROAD,PITTSBURG,CA,94565,CONTRA COSTA COUNTY,974 Centre Road,Wilmington,DE,19805,100.0,325199,40855.896,CTVA,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_4E48563451372D52,US,USD,True,BBG00BN969C1,1755672.0,549300WZN9I2QKLS0O94,44340457641,61.74,40.25,61.74,40.6,0.299381723464478,726773605,0,2668236,3884066,48.88,56.12,2020,2.37,0.547709007038647,0.008977364481866,,2022-02-28,2022-05-04,25.20776443493462,0.7629609050054881,1.103793103448275,1.103793103448275,1.460884401760252,0.29883677362218103,0.29389234459400704,0.41013047347193404,0.258750492585936,0.10947444989998101,0.11413440467494501,0.022971160295103002
CVR ENERGY INC,COFFEYVILLE RESOURCES NITROGEN FERT.,325311,1689228.57,Nitrogenous Fertilizer Manufacturing ,110000579856.0,2020,COFFEYVILLE RESOURCES NITROGEN FERT.,701 E. MARTIN,COFFEYVILLE,KS,67337,MONTGOMERY COUNTY,"2277 Plaza Drive, Suite 500",Sugar Land,TX,77479,100.0,325311,1689228.57,CVI,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_48534651484D2D52,US,USD,True,BBG000QHV8S1,1376139.0,529900SOYZIXZBTXB558,2665066179,26.99,11.22,26.99,11.22,0.55918247316571,100530599,0,488394,720915,19.67,22.91,1423,0.24880000000000002,0.0,0.0,,,,106.6026471796,0.7951640231019491,2.226788061736209,1.1549867091540191,0.751360921727181,0.5445747612638591,0.5770374776918501,0.314328210213187,0.19306930693069302,0.25878442545109204,0.293170731707317,0.007218844984802001
CVR ENERGY INC,WYNNEWOOD REFINING CO,324110,743181.048,Petroleum Refineries,110000453697.0,2020,WYNNEWOOD REFINING CO,906 S. POWELL,WYNNEWOOD,OK,73098,GARVIN COUNTY,"2277 Plaza Drive, Suite 500",Sugar Land ,TX,77479,100.0,324110,743181.048,CVI,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_48534651484D2D52,US,USD,True,BBG000QHV8S1,1376139.0,529900SOYZIXZBTXB558,2665066179,26.99,11.22,26.99,11.22,0.55918247316571,100530599,0,488394,720915,19.67,22.91,1423,0.24880000000000002,0.0,0.0,,,,106.6026471796,0.7951640231019491,2.226788061736209,1.1549867091540191,0.751360921727181,0.5445747612638591,0.5770374776918501,0.314328210213187,0.19306930693069302,0.25878442545109204,0.293170731707317,0.007218844984802001
CVR ENERGY INC,"Coffeyville Resources Refining & Marketing, LLC",324110,843334.93,Petroleum Refineries,110013703206.0,2020,"Coffeyville Resources Refining & Marketing, LLC",400 North Linden Street,Coffeyville,KS,67337,MONTGOMERY COUNTY,400 North Linden Street,Coffeyville,KS,67337,100.0,324110,843334.93,CVI,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_48534651484D2D52,US,USD,True,BBG000QHV8S1,1376139.0,529900SOYZIXZBTXB558,2665066179,26.99,11.22,26.99,11.22,0.55918247316571,100530599,0,488394,720915,19.67,22.91,1423,0.24880000000000002,0.0,0.0,,,,106.6026471796,0.7951640231019491,2.226788061736209,1.1549867091540191,0.751360921727181,0.5445747612638591,0.5770374776918501,0.314328210213187,0.19306930693069302,0.25878442545109204,0.293170731707317,0.007218844984802001
CVR ENERGY INC,"East Dubuque Nitrogen Fertilizers, LLC",325311,841698.98,Nitrogenous Fertilizer Manufacturing ,110000606158.0,2020,"East Dubuque Nitrogen Fertilizers, LLC",16675 HIGHWAY 20 WEST,EAST DUBUQUE,IL,61025,JO DAVIESS COUNTY,"2277 PLaza Drive, Suite 500",Sugar Land,TX,77479,100.0,325311,841698.98,CVI,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_48534651484D2D52,US,USD,True,BBG000QHV8S1,1376139.0,529900SOYZIXZBTXB558,2665066179,26.99,11.22,26.99,11.22,0.55918247316571,100530599,0,488394,720915,19.67,22.91,1423,0.24880000000000002,0.0,0.0,,,,106.6026471796,0.7951640231019491,2.226788061736209,1.1549867091540191,0.751360921727181,0.5445747612638591,0.5770374776918501,0.314328210213187,0.19306930693069302,0.25878442545109204,0.293170731707317,0.007218844984802001
DARLING INGREDIENTS INC,Darling Ingredients Inc.,311613,48258.86,Rendering and Meat Byproduct Processing ,110001860923.0,2020,Darling Ingredients Inc.,2027 River Road,Union City,TN,38281,OBION COUNTY,5601 N Macarthur Blvd,Irving,TX,75038,100.0,311613,48258.86,DAR,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_525A5258394D2D52,US,USD,True,BBG000BN8ZK8,916540.0,L1N0SPPKS7EXZYUMZ898,12985794725,85.98,58.7,85.98,58.7,0.10080810847829001,161575149,0,1239531,1554189,71.66,76.79,10000,3.9,0.0,0.0,,,2022-05-10,19.95009283120351,1.113250109733648,13.586206896551726,4.434077079107506,3.000497760079642,0.117336299179757,0.15990763457930401,0.082278481012658,0.22328767123287602,0.135971731448763,0.08755074424898501,0.07864716145483801
DARLING INGREDIENTS INC,Darling Ingredients Inc.,311613,46803.592,Rendering and Meat Byproduct Processing ,110001472629.0,2020,Darling Ingredients Inc.,1299 Prisock Rd.,Jackson,MS,39272,HINDS COUNTY,5601 N Macarthur Blvd,Irving,TX,75038,100.0,311613,46803.59199999999,DAR,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_525A5258394D2D52,US,USD,True,BBG000BN8ZK8,916540.0,L1N0SPPKS7EXZYUMZ898,12985794725,85.98,58.7,85.98,58.7,0.10080810847829001,161575149,0,1239531,1554189,71.66,76.79,10000,3.9,0.0,0.0,,,2022-05-10,19.95009283120351,1.113250109733648,13.586206896551726,4.434077079107506,3.000497760079642,0.117336299179757,0.15990763457930401,0.082278481012658,0.22328767123287602,0.135971731448763,0.08755074424898501,0.07864716145483801
DARLING INGREDIENTS INC,Darling Ingredients Inc.,311613,26920.954,Rendering and Meat Byproduct Processing ,110022811046.0,2020,Darling Ingredients Inc.,1176 Bryan Griffin Rd,Butler,KY,41006,PENDLETON COUNTY,"251 O'Conner Ridge Blvd, Suite 300",Irving,TX,75038,100.0,311613,26920.954000000005,DAR,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_525A5258394D2D52,US,USD,True,BBG000BN8ZK8,916540.0,L1N0SPPKS7EXZYUMZ898,12985794725,85.98,58.7,85.98,58.7,0.10080810847829001,161575149,0,1239531,1554189,71.66,76.79,10000,3.9,0.0,0.0,,,2022-05-10,19.95009283120351,1.113250109733648,13.586206896551726,4.434077079107506,3.000497760079642,0.117336299179757,0.15990763457930401,0.082278481012658,0.22328767123287602,0.135971731448763,0.08755074424898501,0.07864716145483801
DARLING INGREDIENTS INC,Darling Ingredients Inc.,311613,34755.824,Rendering and Meat Byproduct Processing ,,2020,Darling Ingredients Inc.,508 Highway 80 East,East DUBLIN,GA,31027,,"251 O'Conner Ridge Blvd, Suite 300",Irving,TX,75038,100.0,311613,34755.824,DAR,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_525A5258394D2D52,US,USD,True,BBG000BN8ZK8,916540.0,L1N0SPPKS7EXZYUMZ898,12985794725,85.98,58.7,85.98,58.7,0.10080810847829001,161575149,0,1239531,1554189,71.66,76.79,10000,3.9,0.0,0.0,,,2022-05-10,19.95009283120351,1.113250109733648,13.586206896551726,4.434077079107506,3.000497760079642,0.117336299179757,0.15990763457930401,0.082278481012658,0.22328767123287602,0.135971731448763,0.08755074424898501,0.07864716145483801
DARLING INGREDIENTS INC,Darling Ingredients Inc.,311613,21176.42,Rendering and Meat Byproduct Processing ,110070525517.0,2020,Darling Ingredients Inc.,264 Farm Route 2336,Bastrop,TX,78602,BASTROP COUNTY,5601 N. MacArthur Blvd.,Irving,TX,75038,100.0,311613,21176.42,DAR,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_525A5258394D2D52,US,USD,True,BBG000BN8ZK8,916540.0,L1N0SPPKS7EXZYUMZ898,12985794725,85.98,58.7,85.98,58.7,0.10080810847829001,161575149,0,1239531,1554189,71.66,76.79,10000,3.9,0.0,0.0,,,2022-05-10,19.95009283120351,1.113250109733648,13.586206896551726,4.434077079107506,3.000497760079642,0.117336299179757,0.15990763457930401,0.082278481012658,0.22328767123287602,0.135971731448763,0.08755074424898501,0.07864716145483801
DARLING INGREDIENTS INC,Darling Ingredients Inc.,311613,25263.404,Rendering and Meat Byproduct Processing ,,2020,Darling Ingredients Inc.,4114 Highway 67 S,Pocahontas,AR,72455,,5601 N Macarthur Blvd,Irving,TX,75038,100.0,311613,25263.404,DAR,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_525A5258394D2D52,US,USD,True,BBG000BN8ZK8,916540.0,L1N0SPPKS7EXZYUMZ898,12985794725,85.98,58.7,85.98,58.7,0.10080810847829001,161575149,0,1239531,1554189,71.66,76.79,10000,3.9,0.0,0.0,,,2022-05-10,19.95009283120351,1.113250109733648,13.586206896551726,4.434077079107506,3.000497760079642,0.117336299179757,0.15990763457930401,0.082278481012658,0.22328767123287602,0.135971731448763,0.08755074424898501,0.07864716145483801
DELEK US HOLDINGS INC,Alon Bakersfield Refining,324110,16329.84,Petroleum Refineries,110017887330.0,2020,Alon Bakersfield Refining,6451 Rosedale Highway,Bakersfield,CA,93308,KERN COUNTY,"7616 LBJ Fwy, Suite 300   ",Dallas,TX,75251,100.0,324110,16329.84,DK,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_56445837574E2D52,US,USD,True,BBG00FZYFVC5,1351541.0,5493003O53JMENV1N385,2074651176,26.09,13.48,26.09,13.48,0.075057208237986,88320612,0,1050646,1198917,18.25,20.45,1326,0.0,0.0,0.0,,,2022-05-03,0.0,0.9084294299144421,1.040408602897744,0.191279167068154,0.5944557197450491,0.080994017487344,0.567044696464309,0.09715086408220401,0.275936990765888,0.271103896103896,0.316704035874439,0.042609853528628006
DELEK US HOLDINGS INC,"Delek Refining, Ltd",324110,453701.656,Petroleum Refineries,110000458488.0,2020,"Delek Refining, Ltd",1702 East Commerce St,Tyler,TX,75702,SMITH COUNTY,7102 Commerce Way,Brentwood,TN,37027,100.0,324110,453701.656,DK,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_56445837574E2D52,US,USD,True,BBG00FZYFVC5,1351541.0,5493003O53JMENV1N385,2074651176,26.09,13.48,26.09,13.48,0.075057208237986,88320612,0,1050646,1198917,18.25,20.45,1326,0.0,0.0,0.0,,,2022-05-03,0.0,0.9084294299144421,1.040408602897744,0.191279167068154,0.5944557197450491,0.080994017487344,0.567044696464309,0.09715086408220401,0.275936990765888,0.271103896103896,0.316704035874439,0.042609853528628006
DELEK US HOLDINGS INC,BIG SPRING REFINERY,324110,452673.48,Petroleum Refineries,110013314323.0,2020,BIG SPRING REFINERY,200 REFINERY RD; INTERSECTION OF I-20 & REFINERY RD,BIG SPRING,TX,79720,HOWARD COUNTY,"12700 PARK CENTRAL DRIVE, SUITE 1600",DALLAS,TX,75251,100.0,324110,452673.48,DK,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_56445837574E2D52,US,USD,True,BBG00FZYFVC5,1351541.0,5493003O53JMENV1N385,2074651176,26.09,13.48,26.09,13.48,0.075057208237986,88320612,0,1050646,1198917,18.25,20.45,1326,0.0,0.0,0.0,,,2022-05-03,0.0,0.9084294299144421,1.040408602897744,0.191279167068154,0.5944557197450491,0.080994017487344,0.567044696464309,0.09715086408220401,0.275936990765888,0.271103896103896,0.316704035874439,0.042609853528628006
DELEK US HOLDINGS INC,ALON REFINING KROTZ SPRINGS INC,324110,354930.17,Petroleum Refineries,110041023807.0,2020,ALON REFINING KROTZ SPRINGS INC,356 S. LEVEE RD,KROTZ SPRINGS,LA,70750,ST. LANDRY PARISH,"7616 LBJ Freeway, Suite 300",Dallas,TX,72521,100.0,324110,354930.17,DK,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_56445837574E2D52,US,USD,True,BBG00FZYFVC5,1351541.0,5493003O53JMENV1N385,2074651176,26.09,13.48,26.09,13.48,0.075057208237986,88320612,0,1050646,1198917,18.25,20.45,1326,0.0,0.0,0.0,,,2022-05-03,0.0,0.9084294299144421,1.040408602897744,0.191279167068154,0.5944557197450491,0.080994017487344,0.567044696464309,0.09715086408220401,0.275936990765888,0.271103896103896,0.316704035874439,0.042609853528628006
DELEK US HOLDINGS INC,LION OIL CO-EL DORADO REFINERY,324110,684794.914,Petroleum Refineries,110017419667.0,2020,LION OIL CO-EL DORADO REFINERY,1000 MCHENRY,EL DORADO,AR,71730,UNION COUNTY,7102 Commerce Way,Brentwood ,TN,37027,100.0,324110,684794.9140000001,DK,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_56445837574E2D52,US,USD,True,BBG00FZYFVC5,1351541.0,5493003O53JMENV1N385,2074651176,26.09,13.48,26.09,13.48,0.075057208237986,88320612,0,1050646,1198917,18.25,20.45,1326,0.0,0.0,0.0,,,2022-05-03,0.0,0.9084294299144421,1.040408602897744,0.191279167068154,0.5944557197450491,0.080994017487344,0.567044696464309,0.09715086408220401,0.275936990765888,0.271103896103896,0.316704035874439,0.042609853528628006
DIAMONDBACK ENERGY INC,Diamondback E&P LLC,211120,1192555.846,Crude Petroleum Extraction ,110015744550.0,2020,Diamondback E&P LLC,500 West Texas Suite 1200,Midland,TX,79701,MIDLAND COUNTY,"500 W. Texas, Ste. 1200",Midland,TX,79701,100.0,211120,1192555.846,FANG,XNAS,,Nasdaq All Markets,XNMS,Nasdaq Nms Global Market,2022-04-16,cs,IEX_4836394357532D52,US,USD,True,BBG002PHSYX9,1539838.0,549300R22LSX6OHWEN64,24561328308,147.99,65.36,147.99,65.93,0.8206183316434351,177414969,0,1900135,2233930,119.56,136.23,732,12.3,1.9381325304938342,0.013999801578256001,,2022-03-03,2022-05-02,11.256337446544457,0.9724076411321371,7.493251533742331,0.41500080746217605,3.83612914043778,0.7851616497142501,0.28929514372325404,0.28974797556894605,0.076158168199075,0.111432241490044,0.101966090901854,-0.025001760687372
DOMINION ENERGY INC,Gordonsville Power Station,221112,539766.998,Fossil Fuel Electric Power Generation ,110000341489.0,2020,Gordonsville Power Station,819 Hill Road,GORDONSVILLE,VA,22942,Louisa,120 Tredegar St,Richmond,VA,23219,100.0,221112,539766.998,D,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_4E58484C50302D52,US,USD,True,BBG000BGVW60,715957.0,ILUL7B6Z54MRYCF6H308,70852898947,88.78,69.61,88.78,70.37,0.145709618979453,810673901,0,2746463,2917296,77.65,83.53,2021,3.19,2.5257119449376972,0.028898306006152,,2022-03-03,2022-05-05,27.473012387514544,0.23598113043564803,2.533254636891383,0.370614894851569,0.17876019782671101,0.154196110332696,0.12186769149408601,0.21647897537395602,0.11322405735778601,0.07874598864477901,0.08221892025755301,-0.011088481556913
