Parent,Subsidiary,ticker
CENTURY ALUMINUM CO,CENTURY ALUMINUM OF KENTUCKY,CENX
CF INDUSTRIES HOLDINGS INC,VERDIGRIS PLT,CF
CF INDUSTRIES HOLDINGS INC,"CF INDUSTRIES NITROGEN, LLC - DONALDSONVILLE NITROGEN COMPLEX",CF
CF INDUSTRIES HOLDINGS INC,"CF Industries Nitrogen, LLC - Yazoo City Facility",CF
CF INDUSTRIES HOLDINGS INC,TERRA INTERNATIONAL (OKLAHOMA) INC,CF
CF INDUSTRIES HOLDINGS INC,"CF Industries Nitrogen, LLC-Port Neal Nitrogen Complex",CF
CHENIERE ENERGY INC,SABINE PASS LNG TERMINAL,LNG
CHENIERE ENERGY INC,Gillis Compressor Station,LNG
CHENIERE ENERGY INC,Corpus Christi Liquefaction,LNG
CHENIERE ENERGY INC,Sinton Compressor Station,LNG
CHESAPEAKE ENERGY CORP,"Chesapeake Appalachia LLC, 160A - Appalachian Basin (Eastern Overthrust Area)",CHK
CHESAPEAKE ENERGY CORP,"Chesapeake Operating LLC, 220 - Gulf Coast Basin",CHK
CHESAPEAKE ENERGY CORP,"Chesapeake Operating LLC, 230 - Arkla Basin",CHK
CHESAPEAKE ENERGY CORP,"Chesapeake Operating LLC, 260 - East Texas Basin",CHK
CHESAPEAKE ENERGY CORP,"Chesapeake Operating LLC, 360 - Anadarko Basin",CHK
CHESAPEAKE ENERGY CORP,"Chesapeake Operating LLC, 515 - Powder River Basin",CHK
CHESAPEAKE ENERGY CORP,"Chesapeake Operating LLC, 220 - Gulf Coast Basin G&B",CHK
CHESAPEAKE UTILITIES CORP,Chesapeake Utilities - DE Division,CPK
CHESAPEAKE UTILITIES CORP,Chesapeake Utilities - MD Division,CPK
CHESAPEAKE UTILITIES CORP,Sandpiper Energy,CPK
CHESAPEAKE UTILITIES CORP,"Eight Flags Energy, LLC",CPK
CHEVRON CORP,Sargent Canyon Cogeneration Facility,CVX
CHEVRON CORP,Salinas River Cogeneration Facility,CVX
CHEVRON CORP,LISBURNE PRODUCTION CENTER,CVX
CHEVRON CORP,CENTRAL COMPRESSOR PLANT,CVX
CHEVRON CORP,CENTRAL GAS FACILITY,CVX
CHEVRON CORP,CENTRAL POWER STATION,CVX
CHEVRON CORP,ENDICOTT PRODUCTION FACILITY,CVX
CHEVRON CORP,SEAWATER INJECTION PLANT,CVX
CHEVRON CORP,AMERICAS STYRENICS LLC - ST JAMES PLANT,CVX
CHEVRON CORP,"CHEVRON PHILLIPS CHEMICAL COMPANY, LP PORT ARTHUR PLANT",CVX
CHEVRON CORP,Viosca Knoll 786 A,CVX
CHEVRON CORP,WASSON CO2 REMOVAL PLANT,CVX
CHEVRON CORP,Mississippi Canyon 650 A,CVX
CHEVRON CORP,PEGASUS GAS PLANT,CVX
CHEVRON CORP,NORTH CROSS COMP STATION 4,CVX
CHEVRON CORP,INDIAN BASIN GAS PLANT,CVX
CHEVRON CORP,Chevron Pascagoula Refinery,CVX
CHEVRON CORP,Chevron Pascagoula Refinery,CVX
CHEVRON CORP,CHEVRON PRODS.CO. RICHMOND REFY,CVX
CHEVRON CORP,Green Canyon 205 A,CVX
CHEVRON CORP,"Mad Dog. MMS Platform ID 02481, Complex ID 1215-1",CVX
CHEVRON CORP,Chevron Phillips Chemical Company LP Cedar Bayou Plant,CVX
CHEVRON CORP,SYCAMORE COGENERATION Facility,CVX
CHEVRON CORP,Kern River Cogeneration Facility,CVX
CHEVRON CORP,ConocoPhillips Alaska Inc - KRU CPF2,CVX
CHEVRON CORP,ConocoPhillips Alaska Inc - KRU CPF3,CVX
CHEVRON CORP,ConocoPhillips Alaska Inc - KRU STP,CVX
CHEVRON CORP,ConocoPhillips Alaska Inc - KRU CPF1,CVX
CHEVRON CORP,DENVER UNIT CO 2 RECOVERY PLANT,CVX
CHEVRON CORP,Green Canyon 641,CVX
CHEVRON CORP,CHEVRON PRODUCTS CO - SALT LAKE REFINERY,CVX
CHEVRON CORP,"CRUDE OIL TOPPING UNIT, PRUDHOE BAY OPERATIONS CENTER, TARMAC CAMP",CVX
CHEVRON CORP,CHEVRON PHILLIPS - SWEENY COMPLEX,CVX
CHEVRON CORP,Coalinga Cogeneration Facility,CVX
CHEVRON CORP,SEAWATER TREATMENT PLANT,CVX
CHEVRON CORP,Chevron Oronite Oak Point,CVX
CHEVRON CORP,"CHEVRON PRODUCTS, EL SEGUNDO REFINERY",CVX
CHEVRON CORP,Basin 540 Denver Julesburg - Noble Energy Inc.,CVX
CHEVRON CORP,745 San Joaquin Basin Chevron USA Inc.,CVX
CHEVRON CORP,Dollarhide Gas Plant,CVX
CHEVRON CORP,Chevron MCA 430 Permian Basin,CVX
CHEVRON CORP,Rosetta Resources 220 Gulf Coast Basin,CVX
CHEVRON CORP,Walker Ridge 718 (JSM),CVX
CHEVRON CORP,San Joaquin Basin Gathering & Boosting - Chevron USA Inc.,CVX
CHEVRON CORP,Coastal Basin Gathering & Boosting - Chevron USA Inc.,CVX
CHEVRON CORP,Chevron MCA 260 East Texas Basin Gathering and Boosting,CVX
CHEVRON CORP,Basin 540 Denver Julesburg – NBL Midstream Holdings LLC,CVX
CHEVRON CORP,Chevron MCA 430 Permian Basin Gathering and Boosting,CVX
CHEVRON CORP,Chevron MCA 595 Piceance Basin Gathering and Boosting,CVX
CHEVRON CORP,Rosetta Resources 220 Gulf Coast Basin Gathering and Boosting,CVX
CHEVRON CORP,Basin 540 Denver Julesburg – G&B,CVX
CHEVRON CORP,Walker Ridge 29 (Big Foot),CVX
CHEVRON CORP,Noble Midstream Services - Permian Basin 430,CVX
CHEVRON CORP,"Noble Energy, Inc. - Permian Basin 430",CVX
CHEVRON CORP,Mobile 823 A,CVX
CHS INC,CHS-Rochelle,CHSCL
CHS INC,CHS MANKATO,CHSCL
CHS INC,CHS OILSEED PROCESSING - FAIRMONT,CHSCL
CHS INC,CHS INC LAUREL REFINERY,CHSCL
CHS INC,CHS MCPHERSON REFINERY INC.,CHSCL
CLEARWATER PAPER CORP,CLEARWATER PAPER CORP-CYPRESS BEND MILL,CLW
CLEARWATER PAPER CORP,"Cellu Tissue Corporation Neenah, dba Clearwater Paper - Neenah",CLW
CLEARWATER PAPER CORP,"Clearwater Paper Las Vegas, LLC",CLW
CLEARWATER PAPER CORP,CLEARWATER PAPER CORP,CLW
CLEARWATER PAPER CORP,"Clearwater Paper Shelby, LLC",CLW
CLEARWAY ENERGY INC,ENERGY CENTER MINNEAPOLIS,CWEN
CLEARWAY ENERGY INC,Energy Center Harrisburg LLC,CWEN
CLEARWAY ENERGY INC,HENNEPIN COUNTY ENERGY CENTER,CWEN
CLEARWAY ENERGY INC,Energy Center Pittsburgh LLC,CWEN
CLEARWAY ENERGY INC,"Walnut Creek Energy, LLC.",CWEN
CLEARWAY ENERGY INC,Marsh Landing Generating Station,CWEN
CLEVELAND-CLIFFS INC,Cleveland-Cliffs Steel LLC,CLF
CLEVELAND-CLIFFS INC,Cleveland-Cliffs Steel Corporation,CLF
CLEVELAND-CLIFFS INC,Cleveland-Cliffs Weirton LLC,CLF
CLEVELAND-CLIFFS INC,AK Steel Corporation - Middletown,CLF
CLEVELAND-CLIFFS INC,Cleveland-Cliffs Steel LLC,CLF
CLEVELAND-CLIFFS INC,MOUNTAIN STATE CARBON,CLF
CLEVELAND-CLIFFS INC,Cleveland-Cliffs Steel Corporation /BUTLER WORKS,CLF
CLEVELAND-CLIFFS INC,Cleveland-Cliffs Warren,CLF
CLEVELAND-CLIFFS INC,CLEVELAND-CLIFFS STEEL CORPORATION DEARBORN WORKS,CLF
CLEVELAND-CLIFFS INC,Cleveland-Cliffs Steel Corporation,CLF
CLEVELAND-CLIFFS INC,Cleveland-Cliffs Steel Corporation - Zanesville Works,CLF
CLEVELAND-CLIFFS INC,CLEVELAND-CLIFFS PLATE LLC/CONSHOHOCKEN PLT,CLF
CLEVELAND-CLIFFS INC,Cleveland-Cliffs Tek Inc. and Cleveland-Cliffs Kote Inc.,CLF
CLEVELAND-CLIFFS INC,CLEVELAND-CLIFFS PLATE LLC-COATESVILLE,CLF
CLEVELAND-CLIFFS INC,Cleveland-Cliffs Minorca Mine,CLF
CLEVELAND-CLIFFS INC,Cleveland-Cliffs Burns Harbor LLC,CLF
CLEVELAND-CLIFFS INC,Cleveland-Cliffs Steelton LLC,CLF
CLEVELAND-CLIFFS INC,TILDEN MINING COMPANY L C,CLF
CLEVELAND-CLIFFS INC,EMPIRE MINE,CLF
CLEVELAND-CLIFFS INC,Cleveland-Cliffs Monessen Coke LLC,CLF
CLEVELAND-CLIFFS INC,Hibbing Taconite Company,CLF
CLEVELAND-CLIFFS INC,NORTHSHORE MINING CO - SILVER BAY,CLF
CLEVELAND-CLIFFS INC,UNITED TACONITE LLC - FAIRLANE PLANT,CLF
CLEVELAND-CLIFFS INC,CLEVELAND-CLIFFS RIVERDALE LLC,CLF
CLEVELAND-CLIFFS INC,Cleveland-Cliffs Steel Corporation - Mansfield Works,CLF
CLEVELAND-CLIFFS INC,Cleveland-Cliffs Columbus LLC,CLF
CLEVELAND-CLIFFS INC,Cleveland-Cliffs Cleveland Works LLC,CLF
CLEVELAND-CLIFFS INC,Cleveland-Cliffs Princeton Coal,CLF
CMS ENERGY CORP,TES Filer City Station,CMS
CMS ENERGY CORP,J H Campbell,CMS
CMS ENERGY CORP,Zeeland Generating Station,CMS
CMS ENERGY CORP,Kalamazoo River Generating Station,CMS
CMS ENERGY CORP,Jackson Generating Station,CMS
CMS ENERGY CORP,Consumers Energy Company,CMS
CMS ENERGY CORP,Dearborn Industrial Generation,CMS
CMS ENERGY CORP,Livingston Generating Station,CMS
CMS ENERGY CORP,Dan E Karn,CMS
CMS ENERGY CORP,Consumers Energy - Ray Compressor Station,CMS
CMS ENERGY CORP,Craven County Wood Energy,CMS
CMS ENERGY CORP,White Pigeon Compressor Station,CMS
CMS ENERGY CORP,Consumers Energy - Electric Asset Management,CMS
CMS ENERGY CORP,Consumers Energy Muskegon River Compressor Station,CMS
CNX RESOURCES CORP,CNX Gas Company LLC -160 Appalachian Basin,CNX
CNX RESOURCES CORP,Grant Processing Facility-Cardinal States Gathering,CNX
CNX RESOURCES CORP,CNX Gas Company LLC - 160A Appalachian Basin Eastern Overthrust Area - GB,CNX
CNX RESOURCES CORP,CNX Gas Company LLC - 160 Appalachian Basin - GB,CNX
CNX RESOURCES CORP,CNX Midstream Operating Company LLC - 160A Appalachian Basin Eastern Overthrust Area - GB,CNX
COEUR MINING INC,Coeur Alaska Inc Kensington Gold Mine,CDE
COMMERCIAL METALS CO,CMC Steel Florida,CMC
COMMERCIAL METALS CO,SMI STEEL LLC,CMC
COMMERCIAL METALS CO,CMC Steel Arizona,CMC
COMMERCIAL METALS CO,STRUCTURAL METALS INC,CMC
COMMERCIAL METALS CO,CMC Steel SC,CMC
COMMERCIAL METALS CO,TAMCO,CMC
COMMERCIAL METALS CO,CMC Steel New Jersey,CMC
COMMERCIAL METALS CO,CMC STEEL TENNESSEE,CMC
COMMERCIAL METALS CO,"CMC Steel Oklahoma, LLC",CMC
COMPASS MINERALS INTERNATIONAL INC,NORTH AMERICAN SALT CO,CMP
COMPASS MINERALS INTERNATIONAL INC,Compass Minerals Ogden Inc,CMP
CONAGRA BRANDS INC,ConAgra Foods Inc.,CAG
CONAGRA BRANDS INC,ConAgra Foods Inc.,CAG
CONAGRA BRANDS INC,Conagra - Russellville,CAG
CONSOL ENERGY INC,Bailey Mine-Crabapple Portal,CEIX
CONSOL ENERGY INC,Enlow Fork Mine,CEIX
CONSOL ENERGY INC,CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,CEIX
CONSOL ENERGY INC,Harvey Mine,CEIX
CONSOL ENERGY INC,CONSOL Energy Itmann #5,CEIX
CONTINENTAL RESOURCES INC,CRI 395 Williston,CLR
CONTINENTAL RESOURCES INC,CRI 360 Anadarko,CLR
CONTINENTAL RESOURCES INC,CRI 350 SOK Folded Belt,CLR
CONTINENTAL RESOURCES INC,CRI 395 G&B Williston,CLR
CORTEVA INC,DOW AGROSCIENCES HARBOR BEACH,CTVA
CORTEVA INC,Corteva agriscience - Pittsburg Operations,CTVA
CRESTWOOD EQUITY PARTNERS LP,COWTOWN GAS PROCESSING PLANT,CEQP
CRESTWOOD EQUITY PARTNERS LP,ALLIANCE COMPRESSOR STATION,CEQP
CRESTWOOD EQUITY PARTNERS LP,Bucking Horse Plant,CEQP
CRESTWOOD EQUITY PARTNERS LP,Tres Palacios Gas Storage Facility,CEQP
CRESTWOOD EQUITY PARTNERS LP,Jackalope GGS – Powder River Basin 515,CEQP
CRESTWOOD EQUITY PARTNERS LP,Appalachian Basin (Eastern Overthrust Area) Gathering and Boosting,CEQP
CRESTWOOD EQUITY PARTNERS LP,Williston Basin Gathering and Boosting,CEQP
CRESTWOOD EQUITY PARTNERS LP,Strawn Basin Gathering and Boosting,CEQP
CRESTWOOD EQUITY PARTNERS LP,Permian Basin Gathering and Boosting,CEQP
CRESTWOOD EQUITY PARTNERS LP,Bear Den Gas Plant,CEQP
CVR ENERGY INC,COFFEYVILLE RESOURCES NITROGEN FERT.,CVI
CVR ENERGY INC,WYNNEWOOD REFINING CO,CVI
CVR ENERGY INC,"Coffeyville Resources Refining & Marketing, LLC",CVI
CVR ENERGY INC,"East Dubuque Nitrogen Fertilizers, LLC",CVI
DARLING INGREDIENTS INC,Darling Ingredients Inc.,DAR
DARLING INGREDIENTS INC,Darling Ingredients Inc.,DAR
DARLING INGREDIENTS INC,Darling Ingredients Inc.,DAR
DARLING INGREDIENTS INC,Darling Ingredients Inc.,DAR
DARLING INGREDIENTS INC,Darling Ingredients Inc.,DAR
DARLING INGREDIENTS INC,Darling Ingredients Inc.,DAR
DCP MIDSTREAM LP,WILCOX GAS PLANT,DCP
DCP MIDSTREAM LP,MOBILE BAY NGL RECOVERY PLANT,DCP
DCP MIDSTREAM LP,ROGGEN GAS PLANT,DCP
DCP MIDSTREAM LP,GIDDINGS GAS PLANT,DCP
DCP MIDSTREAM LP,DISCOVERY PRODUCER SERVICES LLC - DISCOVERY PARADIS FRACTIONATION PLANT,DCP
DCP MIDSTREAM LP,WEST BEAUMONT GAS PLANT,DCP
DCP MIDSTREAM LP,GULF PLAINS GAS PLANT,DCP
DCP MIDSTREAM LP,CHITWOOD GAS PLANT,DCP
DCP MIDSTREAM LP,LUCERNE GAS PLANT,DCP
DCP MIDSTREAM LP,SOUTHWEST OZONA GAS PLANT,DCP
DCP MIDSTREAM LP,SPINDLE GAS PROCESSING PLANT,DCP
DCP MIDSTREAM LP,OZONA GAS PLANT,DCP
DCP MIDSTREAM LP,ARTESIA GAS PLANT,DCP
DCP MIDSTREAM LP,DISCOVERY PRODUCER SERVICES LLC - LAROSE GAS PROCESSING PLANT,DCP
DCP MIDSTREAM LP,SHOLEM GAS PLANT,DCP
DCP MIDSTREAM LP,PEGASUS GAS PLANT,DCP
DCP MIDSTREAM LP,North Terrebonne Gas Plant,DCP
DCP MIDSTREAM LP,LINAM RANCH GAS PLANT,DCP
DCP MIDSTREAM LP,PLATTEVILLE GAS PLANT,DCP
DCP MIDSTREAM LP,SHERHAN GAS PLANT,DCP
DCP MIDSTREAM LP,DCP MIDSTREAM - EUNICE GAS PLANT,DCP
DCP MIDSTREAM LP,SPINDLETOP COMPRESSOR STATION,DCP
DCP MIDSTREAM LP,MEWBOURN GAS PLANT,DCP
DCP MIDSTREAM LP,GREELEY GAS PLANT,DCP
DCP MIDSTREAM LP,SONORA GAS PLANT,DCP
DCP MIDSTREAM LP,EAST TEXAS GAS PLANT,DCP
DCP MIDSTREAM LP,SOUTH CHESTER CO2 REMOVAL FACILITY,DCP
DCP MIDSTREAM LP,GOLDSMITH GAS PLANT,DCP
DCP MIDSTREAM LP,DCP MIDSTREAM LP/OKARCHE GAS PLT,DCP
DCP MIDSTREAM LP,Tebone Fractionator,DCP
DCP MIDSTREAM LP,Roberts Ranch Gas Plant,DCP
DCP MIDSTREAM LP,DCP MIDSTREAM LP/CIMARRON PLT,DCP
DCP MIDSTREAM LP,DCP MIDSTREAM LP/KINGFISHER NATURAL G,DCP
DCP MIDSTREAM LP,National Helium Plant,DCP
DCP MIDSTREAM LP,WARNER CO2 TREATMENT PLANT,DCP
DCP MIDSTREAM LP,Eagle-1 Gas Plant,DCP
DCP MIDSTREAM LP,O'Connor Gas Plant,DCP
DCP MIDSTREAM LP,Goliad Gas Plant,DCP
DCP MIDSTREAM LP,Rawhide Gas Plant,DCP
DCP MIDSTREAM LP,"DCP Midstream, LP",DCP
DCP MIDSTREAM LP,ZIA II GAS PLANT,DCP
DCP MIDSTREAM LP,DCP Midstream 430 Permian Basin,DCP
DCP MIDSTREAM LP,DCP Midstream 360 Anadarko Basin,DCP
DCP MIDSTREAM LP,DCP Midstream 355 Chautauqua Platform,DCP
DCP MIDSTREAM LP,DCP Midstream 220 Gulf Coast Basin,DCP
DCP MIDSTREAM LP,DCP Midstream 595 Piceance Basin,DCP
DCP MIDSTREAM LP,DCP Midstream 540 Denver Basin,DCP
DCP MIDSTREAM LP,DCP Midstream 260 East Texas Basin,DCP
DCP MIDSTREAM LP,DCP Midstream 350 South Oklahoma Folded Belt,DCP
DCP MIDSTREAM LP,"GCX Rankin Compressor Station, TX",DCP
DCP MIDSTREAM LP,"GCX Waha Compressor Station, TX",DCP
DCP MIDSTREAM LP,"GCX Big Wells Compressor Station, TX",DCP
DCP MIDSTREAM LP,"GCX Devil’s River Compressor Station, TX",DCP
DEERE & CO,JOHN DEERE HARVESTER WORKS,DE
DEERE & CO,JOHN DEERE FNDRY WATERLOO,DE
DELEK US HOLDINGS INC,Alon Bakersfield Refining,DK
DELEK US HOLDINGS INC,"Delek Refining, Ltd",DK
DELEK US HOLDINGS INC,BIG SPRING REFINERY,DK
DELEK US HOLDINGS INC,ALON REFINING KROTZ SPRINGS INC,DK
DELEK US HOLDINGS INC,LION OIL CO-EL DORADO REFINERY,DK
DENBURY INC,Denbury Onshore LLC 220 Gulf Coast Gathering,DEN
DENBURY INC,Denbury Onshore LLC 230 Arkla Gathering,DEN
DENBURY INC,Denbury Onshore LLC 210 Mid-Gulf Coast Gathering,DEN
DENBURY INC,Denbury Onshore LLC 395 Williston Gathering,DEN
DENBURY INC,Denbury Onshore LLC 515 Powder River Gathering,DEN
DENBURY INC,Delhi NGL Plant,DEN
DEVON ENERGY CORP,SEA ROBIN GAS PROCESSING PLANT,DVN
DEVON ENERGY CORP,OZONA GAS PLANT,DVN
DEVON ENERGY CORP,WASSON CO2 REMOVAL PLANT,DVN
DEVON ENERGY CORP,WILLARD CO2 SEPARATION PLANT,DVN
DEVON ENERGY CORP,Gulf Coast Fractionators,DVN
DEVON ENERGY CORP,DENVER UNIT CO 2 RECOVERY PLANT,DVN
DEVON ENERGY CORP,360 Anadarko Basin DEC,DVN
DEVON ENERGY CORP,430 Permian Basin DEC,DVN
DEVON ENERGY CORP,220 Gulf Coast Basin DEC,DVN
DEVON ENERGY CORP,515 Powder River Basin DEC,DVN
DEVON ENERGY CORP,430 Permian Basin GB DEC,DVN
DEVON ENERGY CORP,530 Wind River GB DEC,DVN
DIAMONDBACK ENERGY INC,Diamondback E&P LLC,FANG
DOMINION ENERGY INC,Gordonsville Power Station,D
DOMINION ENERGY INC,Jasper County Generating Facility,D
DOMINION ENERGY INC,Gravel Neck Combustion Turbine,D
DOMINION ENERGY INC,Darbytown Combustion Turbine,D
DOMINION ENERGY INC,Elizabeth River Combustion Turbine Sta,D
DOMINION ENERGY INC,Rosemary Power Station,D
DOMINION ENERGY INC,Bear Garden Generating Station,D
DOMINION ENERGY INC,Virginia City Hybrid Energy Center,D
DOMINION ENERGY INC,McMeekin,D
DOMINION ENERGY INC,Urquhart,D
DOMINION ENERGY INC,Wateree,D
DOMINION ENERGY INC,Williams,D
DOMINION ENERGY INC,Chesterfield Power Station,D
DOMINION ENERGY INC,Possum Point Power Station,D
DOMINION ENERGY INC,Mount Storm Power Station,D
DOMINION ENERGY INC,Cope Station,D
DOMINION ENERGY INC,Clover Power Station,D
DOMINION ENERGY INC,Ladysmith Combustion Turbine Sta,D
DOMINION ENERGY INC,Remington Combustion Turbine Station,D
DOMINION ENERGY INC,Yorktown Power Station,D
DOMINION ENERGY INC,Dominion Energy Ohio - Robinson Station (Stor),D
DOMINION ENERGY INC,Dominion Energy Questar - Oak Spring Station (Tran),D
DOMINION ENERGY INC,Dominion Energy Questar - Clay Basin (Stor and Proc),D
DOMINION ENERGY INC,PSNC,D
DOMINION ENERGY INC,SCE&G Gas Operations,D
DOMINION ENERGY INC,Dominion Energy Ohio - The East Ohio Gas Co (Dist) (Ohio),D
DOMINION ENERGY INC,Dominion Hope Gas West Virginia,D
DOMINION ENERGY INC,Dominion Energy Questar Gas Company (Dist) (Utah),D
DOMINION ENERGY INC,COVE POINT LNG FACILITY,D
DOMINION ENERGY INC,Dominion Energy Questar - Rock Springs Station (Tran),D
DOMINION ENERGY INC,Dominion Energy Questar Gas Company (Dist) (Wyoming),D
DOMINION ENERGY INC,Columbia Energy Center (SC),D
DOMINION ENERGY INC,Dominion Energy Wexpro - Central Western Overthrust (Prod),D
DOMINION ENERGY INC,Dominion Energy Wexpro - Green River Basin (Prod),D
DOMINION ENERGY INC,Virginia Electric and Power Company,D
DOMINION ENERGY INC,Dominion Energy Ohio - Chippewa Station (Stor),D
DOMINION ENERGY INC,Warren County Power Station,D
DOMINION ENERGY INC,Brunswick County Power Station,D
DOMINION ENERGY INC,Dominion Energy Ohio - Switzerland Station (Tran),D
DOMINION ENERGY INC,Dominion Energy Ohio - Appalachian Basin (Gath),D
DOMINION ENERGY INC,Dominion Energy Wexpro - Green River Basin (Gath),D
DOMINION ENERGY INC,Dominion Energy Questar - Transmission Pipelines (TPL),D
DOMINION ENERGY INC,Greensville County Power Station,D
DOMINION ENERGY INC,Dominion Energy Questar - Blind Canyon Station (Tran),D
DOMINION ENERGY INC,Dominion Energy Questar - Thistle Creek Station (Tran),D
DOMINION ENERGY INC,Dominion Energy Ohio - Transmission Pipelines (TPL),D
DOW INC,UCC South Charleston Plant,DOW
DOW INC,Plaquemine Cogen Facility,DOW
DOW INC,SRW Cogen Limited Partnership,DOW
DOW INC,The Dow Chemical Company,DOW
DOW INC,DOW TEXAS OPERATIONS FREEPORT,DOW
DOW INC,ROHM AND HAAS TEXAS DEER PARK PLANT,DOW
DOW INC,Dow Corning Corporation - Midland Site,DOW
DOW INC,ROHM AND HAAS CHEMICALS LLC,DOW
DOW INC,DOW SILICONES CORPORATION,DOW
DOW INC,UCC SEADRIFT OPERATIONS,DOW
DOW INC,SABINE RIVER OPERATIONS,DOW
DOW INC,The Dow Chemical Company -- Louisiana Operations,DOW
DOW INC,Promix Fractionation Facility,DOW
DOW INC,"WVA Manufacturing, LLC",DOW
DOW INC,St Charles Operations (Taft/Star) Union Carbide Corp,DOW
DOW INC,DC Alabama Inc.,DOW
DOW INC,Corteva agriscience - Pittsburg Operations,DOW
DOW INC,Union Carbide Corporation-Institute,DOW
DTE ENERGY CO,DTE East China,DTB
DTE ENERGY CO,Procter & Gamble Company - Ivorydale,DTB
DTE ENERGY CO,"DTE Calvert City, LLC",DTB
DTE ENERGY CO,Delray,DTB
DTE ENERGY CO,Monroe,DTB
DTE ENERGY CO,River Rouge,DTB
DTE ENERGY CO,St. Clair,DTB
DTE ENERGY CO,Trenton Channel,DTB
DTE ENERGY CO,Renaissance Power,DTB
DTE ENERGY CO,Belle River,DTB
DTE ENERGY CO,Greenwood,DTB
DTE ENERGY CO,Belle River Compressor Station,DTB
DTE ENERGY CO,WASHINGTON 10 STORAGE (MICHIGAN CONSOLIDATED),DTB
DTE ENERGY CO,DTE Energy Michcon LDC,DTB
DTE ENERGY CO,Indiana Harbor Coke Company,DTB
DTE ENERGY CO,EES COKE BATTERY,DTB
DTE ENERGY CO,"DTE Atlantic, LLC",DTB
DTE ENERGY CO,Milford Compressor Station,DTB
DTE ENERGY CO,Taggart (Six Lakes) Compressor Station,DTB
DTE ENERGY CO,HANCOCK COMPRESSOR STATION,DTB
DTE ENERGY CO,MINISINK COMPRESSOR STATION,DTB
DTE ENERGY CO,Millennium Pipeline Company LLC Corning Compressor Station,DTB
DTE ENERGY CO,Bluestone Gathering System,DTB
DTE ENERGY CO,"Susquehanna Gathering Company, LLC",DTB
DTE ENERGY CO,"DTE Appalachia Gathering, LLC",DTB
DTE ENERGY CO,"DTE Louisiana Gathering, LLC 230 - Arkla Basin GB",DTB
DTE ENERGY CO,Millennium - Highland CS,DTB
DTE ENERGY CO,DTE Electric Company - Dearborn Energy Center,DTB
DUKE ENERGY CORP,Osprey Energy Center,DUK
DUKE ENERGY CORP,Mill Creek Combustion Turbine Sta,DUK
DUKE ENERGY CORP,University of Florida Cogeneration Plant,DUK
DUKE ENERGY CORP,H F Lee Steam Electric Plant,DUK
DUKE ENERGY CORP,Roxboro Steam Electric Plant,DUK
DUKE ENERGY CORP,L V Sutton Steam Electric Plant,DUK
DUKE ENERGY CORP,G G Allen,DUK
DUKE ENERGY CORP,Buck,DUK
DUKE ENERGY CORP,Cliffside,DUK
DUKE ENERGY CORP,Dan River,DUK
DUKE ENERGY CORP,Marshall,DUK
DUKE ENERGY CORP,H B Robinson / Darlington Electric Power Plant,DUK
DUKE ENERGY CORP,W S Lee,DUK
DUKE ENERGY CORP,East Bend,DUK
DUKE ENERGY CORP,DeBary Power Plant,DUK
DUKE ENERGY CORP,Gibson,DUK
DUKE ENERGY CORP,Mayo Electric Generating Plant,DUK
DUKE ENERGY CORP,Woodsdale,DUK
DUKE ENERGY CORP,Lincoln,DUK
DUKE ENERGY CORP,Hines Energy Complex,DUK
DUKE ENERGY CORP,Tiger Bay Cogeneration Facility,DUK
DUKE ENERGY CORP,Henry County Generating Station,DUK
DUKE ENERGY CORP,Richmond County Combustion Turbine Plant,DUK
DUKE ENERGY CORP,Belews Creek,DUK
DUKE ENERGY CORP,Intercession City Power Plant,DUK
DUKE ENERGY CORP,Madison Generating Station,DUK
DUKE ENERGY CORP,"Duke Energy Vermillion, II LLC",DUK
DUKE ENERGY CORP,Rockingham County Combustion Turbine,DUK
DUKE ENERGY CORP,Wheatland Generating Facility LLC,DUK
DUKE ENERGY CORP,Crystal River Power Plant,DUK
DUKE ENERGY CORP,P L Bartow Power Plant,DUK
DUKE ENERGY CORP,Suwannee River Power Plant,DUK
DUKE ENERGY CORP,Cayuga,DUK
DUKE ENERGY CORP,Edwardsport,DUK
DUKE ENERGY CORP,Noblesville,DUK
DUKE ENERGY CORP,R Gallagher,DUK
DUKE ENERGY CORP,Piedmont Natural Gas - South Carolina,DUK
DUKE ENERGY CORP,Piedmont Natural Gas - North Carolina,DUK
DUKE ENERGY CORP,Duke Energy Kentucky Gas Operation,DUK
DUKE ENERGY CORP,Duke Energy Ohio Gas Operation,DUK
DUKE ENERGY CORP,AEP Corporate SF6 Emissions,DUK
DUKE ENERGY CORP,Piedmont Natural Gas - Tennessee,DUK
DUKE ENERGY CORP,Asheville Steam Electric Plant,DUK
DUKE ENERGY CORP,Anclote Power Plant,DUK
DUKE ENERGY CORP,T&D FLORIDA,DUK
DUKE ENERGY CORP,Duke Energy Power Delivery Midwest,DUK
DUKE ENERGY CORP,Duke Energy Power Delivery Carolinas,DUK
DUPONT DE NEMOURS INC,"Spruance Genco, LLC",DD
DUPONT DE NEMOURS INC,DU PONT PONTCHARTRAIN WORKS,DD
DUPONT DE NEMOURS INC,DUPONT CIRCLEVILLE PLANT,DD
DUPONT DE NEMOURS INC,SOLAE CO GIBSON,DD
DUPONT DE NEMOURS INC,PRYOR SOLAE,DD
DUPONT DE NEMOURS INC,DUPONT EXPERIMENTAL STATION,DD
