Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Southwest airlines co.,LUV,"",1127736.0,48312000.0,0.00992898,,954,1127736.0,,new,0.1905217,Q4 2021,TRANSPORTS,13F,12/31/2021,42.84,46.76
Hanover insurance group  inc. (the),THG,"",366093.0,47980000.0,0.00986075,,955,366093.0,,new,1.0319128,Q4 2021,FINANCE,13F,12/31/2021,131.06,150.62
Brookfield infrastructure partners l.p. subordinate shares,BIPC,"",700369.0,47818000.0,0.00982745,,956,700369.0,,new,0.9531754,Q4 2021,TRANSPORTS,13F,12/31/2021,68.26,78.35
Texas capital bancshares inc,TCBI,"",792645.0,47757000.0,0.00981492,,957,792645.0,,new,1.5636824,Q4 2021,FINANCE,13F,12/31/2021,60.25,55.63
Sterling bancorp  inc. (provident bancorp),STL,"",1847630.0,47650000.0,0.00979293,,958,1847630.0,,new,N/A,Q4 2021,FINANCE,13F,12/31/2021,25.79,
Premier inc,PINC,"",1156158.0,47599000.0,0.00978244,,959,1156158.0,,new,0.9708850,Q4 2021,HEALTH CARE,13F,12/31/2021,41.17,36.39
Webster financial corp.,WBS,"",852351.0,47595000.0,0.00978162,,960,852351.0,,new,0.4746087,Q4 2021,FINANCE,13F,12/31/2021,55.84,50.46
International game technology  inc.,IGT,"",1641588.0,47458000.0,0.00975347,,961,1641588.0,,new,0.8059321,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,28.91,24.6
Pagseguro digital ltd,PAGS,"",1806739.0,47373000.0,0.009736,,962,1806739.0,,new,0.8968160,Q4 2021,FINANCE,13F,12/31/2021,26.22,17.1
Blackline inc,BL,"",457248.0,47343000.0,0.00972983,,963,457248.0,,new,0.7718920,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,103.54,69.59
Trinet group inc,TNET,"",496846.0,47330000.0,0.00972716,,964,496846.0,,new,0.7562324,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,95.26,96.0
Colliers international group inc,CIGI,"",317624.0,47324000.0,0.00972593,,965,317624.0,,new,0.7433444,Q4 2021,REAL ESTATE,13F,12/31/2021,148.65,122.31
Box inc,BOX,"",1806819.0,47321000.0,0.00972531,,966,1806819.0,,new,1.2597772,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,26.19,30.82
Fti consulting  inc.,FCN,"",307889.0,47236000.0,0.00970784,,967,307889.0,,new,0.8964032,Q4 2021,INDUSTRIALS,13F,12/31/2021,153.42,162.95
Highwoods properties  inc.,HIW,"",1057346.0,47147000.0,0.00968955,,968,1057346.0,,new,1.0080255,Q4 2021,REAL ESTATE,13F,12/31/2021,44.59,43.67
Kite realty group trust,KRG,"",2164467.0,47142000.0,0.00968852,,969,2164467.0,,new,0.9885856,Q4 2021,REAL ESTATE,13F,12/31/2021,21.78,22.38
Sunrun inc,RUN,"",1370621.0,47012000.0,0.00966181,,970,1370621.0,,new,0.6576290,Q4 2021,ENERGY,13F,12/31/2021,34.3,24.86
Dt midstream inc,DTM,"",976090.0,46833000.0,0.00962502,,971,976090.0,,new,1.0090452,Q4 2021,ENERGY,13F,12/31/2021,47.98,57.17
Summit materials inc,SUM,"",1165541.0,46785000.0,0.00961515,,972,1165541.0,,new,0.9830235,Q4 2021,INDUSTRIALS,13F,12/31/2021,40.14,29.0
Lightspeed pos inc.,LSPD,"",1156293.0,46736000.0,0.00960508,,973,1156293.0,,new,0.7785912,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,40.43,25.47
Selective insurance group inc.,SIGI,"",569520.0,46666000.0,0.0095907,,974,569520.0,,new,0.9462656,Q4 2021,FINANCE,13F,12/31/2021,81.94,85.79
Southwest gas holdings inc,SWX,"",666098.0,46660000.0,0.00958946,,975,666098.0,,new,1.1005542,Q4 2021,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,70.05,83.5
Pan american silver corp,PAAS,"",1866885.0,46616000.0,0.00958042,,976,1866885.0,,new,0.8870602,Q4 2021,MATERIALS,13F,12/31/2021,24.97,29.84
Hain celestial group,HAIN,"",1093794.0,46607000.0,0.00957857,,977,1093794.0,,new,1.1976615,Q4 2021,CONSUMER STAPLES,13F,12/31/2021,42.61,34.39
John bean technologies corp,JBT,"",303199.0,46559000.0,0.00956871,,978,303199.0,,new,0.9544126,Q4 2021,INDUSTRIALS,13F,12/31/2021,153.56,109.0
Stericycle inc.,SRCL,"",777536.0,46372000.0,0.00953027,,979,777536.0,,new,0.8459431,Q4 2021,INDUSTRIALS,13F,12/31/2021,59.64,55.38
Houlihan lokey inc,HLI,"",446269.0,46198000.0,0.00949451,,980,446269.0,,new,0.8812041,Q4 2021,FINANCE,13F,12/31/2021,103.52,82.16
Fate therapeutics inc,FATE,"",789454.0,46191000.0,0.00949308,,981,789454.0,,new,0.8187005,Q4 2021,HEALTH CARE,13F,12/31/2021,58.51,37.77
Rbc bearings inc,ROLL,"",228684.0,46187000.0,0.00949225,,982,228684.0,,new,0.7919419,Q4 2021,INDUSTRIALS,13F,12/31/2021,201.97,180.66
Korn ferry,KFY,"",609368.0,46147000.0,0.00948403,,983,609368.0,,new,1.1304927,Q4 2021,INDUSTRIALS,13F,12/31/2021,75.73,65.61
Workiva inc,WK,"",353255.0,46096000.0,0.00947355,,984,353255.0,,new,0.7349266,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,130.49,108.44
Essent group ltd,ESNT,"",1007168.0,45856000.0,0.00942423,,985,1007168.0,,new,0.9258665,Q4 2021,FINANCE,13F,12/31/2021,45.53,41.69
Arrowhead pharmaceuticals inc,ARWR,"",690823.0,45802000.0,0.00941313,,986,690823.0,,new,0.6550587,Q4 2021,HEALTH CARE,13F,12/31/2021,66.3,46.87
B2gold corp,BTG,"",11588771.0,45659000.0,0.00938374,,987,11588771.0,,new,1.0968448,Q4 2021,MATERIALS,13F,12/31/2021,3.93,4.97
Teradata corp.,TDC,"",1072967.0,45569000.0,0.00936524,,988,1072967.0,,new,1.0467695,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,42.47,45.68
Synnex corp,SNX,"",396790.0,45377000.0,0.00932578,,989,396790.0,,new,0.4116329,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,114.36,100.78
New residential investment corp.,NRZ,"",4236473.0,45373000.0,0.00932496,,990,4236473.0,,new,0.9076375,Q4 2021,REAL ESTATE,13F,12/31/2021,10.71,10.66
Performance food group co,PFGC,"",988503.0,45362000.0,0.0093227,,991,988503.0,,new,0.6385620,Q4 2021,CONSUMER STAPLES,13F,12/31/2021,45.89,50.17
Spectrum brands holdings (zapata off-shore - hrg group),SPB,"",445394.0,45305000.0,0.00931099,,992,445394.0,,new,1.0923059,Q4 2021,CONSUMER STAPLES,13F,12/31/2021,101.72,89.98
Integra lifesciences holdings corp,IART,"",676254.0,45302000.0,0.00931037,,993,676254.0,,new,0.8123851,Q4 2021,HEALTH CARE,13F,12/31/2021,66.99,62.68
Brookfield renewable corporation class a,BEPC,"",1229938.0,45298000.0,0.00930955,,994,1229938.0,,new,0.7141311,Q4 2021,FINANCE,13F,12/31/2021,36.83,39.02
Cadence bank,CADE,"",1519887.0,45277000.0,0.00930523,,995,1519887.0,,new,1.4807056,Q4 2021,FINANCE,13F,12/31/2021,29.79,26.35
Wyndham destinations inc,TNL,"",818583.0,45243000.0,0.00929824,,996,818583.0,,new,0.9550350,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,55.27,52.92
Bjs wholesale club holdings inc,BJ,"",675424.0,45233000.0,0.00929619,,997,675424.0,,new,0.4992435,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,66.97,67.37
Block (h&r) inc.,HRB,"",1919641.0,45227000.0,0.00929496,,998,1919641.0,,new,1.1666842,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,23.56,26.78
Shoals technologies group inc cl a,SHLS,"",1861029.0,45223000.0,0.00929413,,999,1861029.0,,new,1.6575869,Q4 2021,ENERGY,13F,12/31/2021,24.3,12.68
Science applications international corp,SAIC,"",539925.0,45132000.0,0.00927543,,1000,539925.0,,new,0.9482121,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,83.59,87.63
Eqova water technologies corp,AQUA,"",962580.0,45001000.0,0.00924851,,1001,962580.0,,new,0.7965078,Q4 2021,INDUSTRIALS,13F,12/31/2021,46.75,43.78
Valmont industries  inc.,VMI,"",179613.0,44993000.0,0.00924687,,1002,179613.0,,new,0.8430546,Q4 2021,INDUSTRIALS,13F,12/31/2021,250.5,240.71
Granite real estate investment trusts,GRP.U,"",539539.0,44991000.0,0.00924645,,1003,539539.0,,new,0.8214662,Q4 2021,REAL ESTATE,13F,12/31/2021,83.31,76.98
Petco health and wellness company inc,WOOF,"",2273326.0,44989000.0,0.00924604,,1004,2273326.0,,new,0.9995077,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,19.79,21.84
Ryman hospitality properties  inc. reit,RHP,"",488933.0,44962000.0,0.00924049,,1005,488933.0,,new,0.8877989,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,91.96,95.01
Sps commerce inc,SPSC,"",315738.0,44945000.0,0.009237,,1006,315738.0,,new,0.8769279,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,142.35,124.63
Crispr therapeutics ag,CRSP,"",592737.0,44918000.0,0.00923145,,1007,592737.0,,new,0.7745466,Q4 2021,HEALTH CARE,13F,12/31/2021,75.78,62.19
Blackstone mortgage trust  inc.,BXMT,"",1464470.0,44842000.0,0.00921583,,1008,1464470.0,,new,0.8685646,Q4 2021,REAL ESTATE,13F,12/31/2021,30.62,31.94
Power integrations  inc.,POWI,"",481191.0,44698000.0,0.00918624,,1009,481191.0,,new,0.8133894,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,92.89,81.59
Pegasystems inc.,PEGA,"",399236.0,44643000.0,0.00917493,,1010,399236.0,,new,0.4890689,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,111.82,74.51
Choice hotels international  inc.,CHH,"",284984.0,44455000.0,0.0091363,,1011,284984.0,,new,0.5122909,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,155.99,142.07
Livent corp,LTHM,"",1819755.0,44366000.0,0.00911801,,1012,1819755.0,,new,1.1246975,Q4 2021,MATERIALS,13F,12/31/2021,24.38,25.02
Air lease corp,AL,"",1002747.0,44351000.0,0.00911492,,1013,1002747.0,,new,0.8776848,Q4 2021,FINANCE,13F,12/31/2021,44.23,43.32
Altair engineering inc,ALTR,"",572968.0,44302000.0,0.00910485,,1014,572968.0,,new,1.1109776,Q4 2021,INDUSTRIALS,13F,12/31/2021,77.32,57.8
Mimecast ltd,MIME,"",555928.0,44235000.0,0.00909108,,1015,555928.0,,new,0.8303903,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,79.57,79.67
Ssr mining,SSRM,"",2493182.0,44132000.0,0.00906991,,1016,2493182.0,,new,1.1739250,Q4 2021,MATERIALS,13F,12/31/2021,17.7,24.1
Harley davidson inc,HOG,"",1170103.0,44101000.0,0.00906354,,1017,1170103.0,,new,0.7603968,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,37.69,38.2
Hancock whitney corp,HWC,"",881323.0,44084000.0,0.00906005,,1018,881323.0,,new,1.0172994,Q4 2021,FINANCE,13F,12/31/2021,50.02,48.46
Diodes inc.,DIOD,"",400849.0,44017000.0,0.00904628,,1019,400849.0,,new,0.8903472,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,109.81,70.11
Univar solutions inc,UNVR,"",1550826.0,43966000.0,0.0090358,,1020,1550826.0,,new,0.9129194,Q4 2021,MATERIALS,13F,12/31/2021,28.35,30.8
Papa johns international inc.,PZZA,"",327134.0,43663000.0,0.00897353,,1021,327134.0,,new,0.9086068,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,133.47,101.11
Axis capital holdings ltd,AXS,"",801059.0,43634000.0,0.00896757,,1022,801059.0,,new,0.9446192,Q4 2021,FINANCE,13F,12/31/2021,54.47,56.57
Equitrans midstream corp,ETRN,"",4217925.0,43613000.0,0.00896325,,1023,4217925.0,,new,0.9711489,Q4 2021,ENERGY,13F,12/31/2021,10.34,8.21
Sensient technologies  inc.,SXT,"",435208.0,43547000.0,0.00894969,,1024,435208.0,,new,1.0356634,Q4 2021,MATERIALS,13F,12/31/2021,100.06,82.44
Lumen technologies  inc,LUMN,"",3456007.0,43373000.0,0.00891393,,1025,3456007.0,,new,0.3377077,Q4 2021,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,12.55,11.47
Asgn inc. (on assignment inc.),ASGN,"",350916.0,43303000.0,0.00889954,,1026,350916.0,,new,0.6800698,Q4 2021,INDUSTRIALS,13F,12/31/2021,123.4,115.73
Signet jewelers ltd,SIG,"",496186.0,43183000.0,0.00887488,,1027,496186.0,,new,0.9948888,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,87.03,77.55
Msa safety inc,MSA,"",286003.0,43175000.0,0.00887323,,1028,286003.0,,new,0.7281706,Q4 2021,INDUSTRIALS,13F,12/31/2021,150.96,126.4
Taylor morrison home corp,TMHC,"",1233549.0,43125000.0,0.00886296,,1029,1233549.0,,new,1.0170108,Q4 2021,INDUSTRIALS,13F,12/31/2021,34.96,26.83
Fuller (h.b.) co.,FUL,"",529541.0,42893000.0,0.00881528,,1030,529541.0,,new,0.9981308,Q4 2021,MATERIALS,13F,12/31/2021,81.0,70.3
Option care health inc. (bioscrip),OPCH,"",1504701.0,42794000.0,0.00879493,,1031,1504701.0,,new,0.8362311,Q4 2021,HEALTH CARE,13F,12/31/2021,28.44,29.45
Umb financial corp (city national bank & trust co. - united missouri bancshares  kansas city  mo),UMBF,"",401688.0,42623000.0,0.00875979,,1032,401688.0,,new,0.8296247,Q4 2021,FINANCE,13F,12/31/2021,106.11,93.18
Trupanion inc,TRUP,"",322464.0,42575000.0,0.00874992,,1033,322464.0,,new,0.7961030,Q4 2021,FINANCE,13F,12/31/2021,132.03,81.07
Euronav nv,EURN,"",4782036.0,42442000.0,0.00872259,,1034,4782036.0,,new,2.1734086,Q4 2021,TRANSPORTS,13F,12/31/2021,8.89,12.65
Alarm.com holdings inc,ALRM,"",499326.0,42348000.0,0.00870327,,1035,499326.0,,new,0.9974463,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,84.81,59.14
Stevanato group spa,STVN,"",1886043.0,42342000.0,0.00870204,,1036,1886043.0,,new,0.6381684,Q4 2021,HEALTH CARE,13F,12/31/2021,22.45,19.94
Nisource inc.,NI,"",1532472.0,42312000.0,0.00869587,,1037,1532472.0,,new,0.3780288,Q4 2021,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,27.61,31.75
Carters inc,CRI,"",416202.0,42128000.0,0.00865806,,1038,416202.0,,new,1.0173476,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,101.22,89.7
Halozyme therapeutics inc,HALO,"",1046198.0,42068000.0,0.00864573,,1039,1046198.0,,new,0.7597468,Q4 2021,HEALTH CARE,13F,12/31/2021,40.21,42.27
Sonos inc,SONO,"",1411277.0,42056000.0,0.00864326,,1040,1411277.0,,new,1.1059418,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,29.8,26.08
Lexington realty trust,LXP,"",2689674.0,42013000.0,0.00863442,,1041,2689674.0,,new,0.9510284,Q4 2021,REAL ESTATE,13F,12/31/2021,,
Helen of troy ltd.,HELE,"",171768.0,41992000.0,0.00863011,,1042,171768.0,,new,0.7116358,Q4 2021,CONSUMER STAPLES,13F,12/31/2021,244.47,204.62
Tegna inc. (gannett co.),TGNA,"",2262444.0,41991000.0,0.0086299,,1043,2262444.0,,new,1.0212182,Q4 2021,COMMUNICATIONS,13F,12/31/2021,18.56,22.44
Upwork inc,UPWK,"",1226695.0,41904000.0,0.00861202,,1044,1226695.0,,new,0.9493395,Q4 2021,COMMUNICATIONS,13F,12/31/2021,34.16,20.86
Livanova plc,LIVN,"",478231.0,41812000.0,0.00859311,,1045,478231.0,,new,0.8978577,Q4 2021,HEALTH CARE,13F,12/31/2021,87.43,81.62
Glacier bancorp  inc.,GBCI,"",735057.0,41678000.0,0.00856557,,1046,735057.0,,new,0.6636320,Q4 2021,FINANCE,13F,12/31/2021,56.7,
Park hotels & resorts inc,PK,"",2205980.0,41649000.0,0.00855961,,1047,2205980.0,,new,0.9338792,Q4 2021,REAL ESTATE,13F,12/31/2021,18.88,19.16
Bankunited inc,BKU,"",984160.0,41640000.0,0.00855776,,1048,984160.0,,new,1.1622868,Q4 2021,FINANCE,13F,12/31/2021,42.31,42.2
Commercial metals company,CMC,"",1141046.0,41409000.0,0.00851029,,1049,1141046.0,,new,0.9392776,Q4 2021,MATERIALS,13F,12/31/2021,36.29,44.32
Zai lab ltd,ZLAB,"",658800.0,41406000.0,0.00850967,,1050,658800.0,,new,0.6833405,Q4 2021,HEALTH CARE,13F,12/31/2021,62.85,44.41
First citizens bancshares  inc. class a,FCNCA,"",49669.0,41217000.0,0.00847083,,1051,49669.0,,new,0.3317187,Q4 2021,FINANCE,13F,12/31/2021,829.84,637.86
Brighthouse financial inc,BHF,"",794461.0,41153000.0,0.00845768,,1052,794461.0,,new,1.0367434,Q4 2021,FINANCE,13F,12/31/2021,51.8,53.43
Timken (roller bearing axle) co.,TKR,"",591281.0,40970000.0,0.00842007,,1053,591281.0,,new,0.7891050,Q4 2021,INDUSTRIALS,13F,12/31/2021,69.29,58.96
Avient corp. (polyone corp.),AVNT,"",731945.0,40952000.0,0.00841637,,1054,731945.0,,new,0.8000153,Q4 2021,MATERIALS,13F,12/31/2021,55.95,46.55
Ziff davis inc,ZD,"",368685.0,40872000.0,0.00839993,,1055,368685.0,,new,0.7799188,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,110.86,97.3
Digitalbridge group inc,DBRG,"",4890312.0,40736000.0,0.00837198,,1056,4890312.0,,new,0.8595688,Q4 2021,REAL ESTATE,13F,12/31/2021,8.33,7.14
Insperity inc.,NSP,"",344235.0,40658000.0,0.00835595,,1057,344235.0,,new,0.8979220,Q4 2021,INDUSTRIALS,13F,12/31/2021,118.11,100.65
Triton international ltd,TRTN,"",674767.0,40641000.0,0.00835245,,1058,674767.0,,new,1.0363807,Q4 2021,INDUSTRIALS,13F,12/31/2021,60.23,61.92
Applied industrial technologies inc. (brown fence & wire - jim brown stores - bearings specialists),AIT,"",395047.0,40571000.0,0.00833806,,1059,395047.0,,new,1.0272563,Q4 2021,INDUSTRIALS,13F,12/31/2021,102.7,97.92
Q2 holdings inc,QTWO,"",509442.0,40470000.0,0.00831731,,1060,509442.0,,new,0.8948815,Q4 2021,COMMUNICATIONS,13F,12/31/2021,79.44,56.12
Wix.com ltd,WIX,"",256093.0,40409000.0,0.00830477,,1061,256093.0,,new,0.4570824,Q4 2021,COMMUNICATIONS,13F,12/31/2021,157.79,89.73
Franklin electric co,FELE,"",426858.0,40364000.0,0.00829552,,1062,426858.0,,new,0.9196101,Q4 2021,INDUSTRIALS,13F,12/31/2021,94.56,78.61
Avnet inc,AVT,"",974084.0,40161000.0,0.0082538,,1063,974084.0,,new,0.9842897,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,41.23,37.13
Viavi solutions inc,VIAV,"",2278414.0,40146000.0,0.00825072,,1064,2278414.0,,new,0.9905619,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,17.62,14.69
Api group corp,APG,"",1557810.0,40145000.0,0.00825051,,1065,1557810.0,,new,0.6698045,Q4 2021,INDUSTRIALS,13F,12/31/2021,25.77,19.74
Chemocentryx  inc.,CCXI,"",1099824.0,40045000.0,0.00822996,,1066,1099824.0,,new,1.5734249,Q4 2021,HEALTH CARE,13F,12/31/2021,36.41,21.54
Cinemark holdings inc,CNK,"",2483328.0,40031000.0,0.00822709,,1067,2483328.0,,new,2.0738727,Q4 2021,COMMUNICATIONS,13F,12/31/2021,16.12,17.02
New york community bancorp,NYCB,"",3271514.0,39945000.0,0.00820941,,1068,3271514.0,,new,0.7005613,Q4 2021,FINANCE,13F,12/31/2021,12.21,10.04
Ensign group inc. (the),ENSG,"",475334.0,39909000.0,0.00820201,,1069,475334.0,,new,0.8628876,Q4 2021,HEALTH CARE,13F,12/31/2021,83.96,85.35
Ii-vi inc.,IIVI,"",583053.0,39840000.0,0.00818783,,1070,583053.0,,new,0.5483216,Q4 2021,INDUSTRIALS,13F,12/31/2021,68.33,61.98
Nuvei corp,NUVCF,"",613469.0,39798000.0,0.0081792,,1071,613469.0,,new,0.9694229,Q4 2021, ,13F,12/31/2021,64.98,66.27
Hillenbrand inc.,HI,"",765371.0,39792000.0,0.00817797,,1072,765371.0,,new,1.0511329,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,51.99,41.62
Ci financial corp,CIXX,"",1896481.0,39671000.0,0.0081531,,1073,1896481.0,,new,0.9535911,Q4 2021,FINANCE,13F,12/31/2021,20.9,14.55
Walker & dunlop inc,WD,"",262811.0,39653000.0,0.0081494,,1074,262811.0,,new,0.7943779,Q4 2021,FINANCE,13F,12/31/2021,150.88,130.32
Washington federal inc,WAFD,"",1187621.0,39643000.0,0.00814734,,1075,1187621.0,,new,1.8186763,Q4 2021,FINANCE,13F,12/31/2021,33.38,31.53
Flowserve corporation,FLS,"",1294252.0,39604000.0,0.00813933,,1076,1294252.0,,new,0.9925097,Q4 2021,INDUSTRIALS,13F,12/31/2021,30.6,35.71
Momentive global inc,MNTV,"",1863028.0,39403000.0,0.00809802,,1077,1863028.0,,new,1.2378058,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,21.15,18.0
Irhythm technologies inc,IRTC,"",334389.0,39354000.0,0.00808795,,1078,334389.0,,new,1.1330126,Q4 2021,HEALTH CARE,13F,12/31/2021,117.69,144.51
Calix inc,CALX,"",491891.0,39337000.0,0.00808446,,1079,491891.0,,new,0.7633461,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,79.97,38.68
Allison transmission holdings inc,ALSN,"",1077170.0,39155000.0,0.00804705,,1080,1077170.0,,new,1.1011852,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,36.35,35.16
Howard hughes corp (the),HHC,"",383727.0,39056000.0,0.00802671,,1081,383727.0,,new,0.7094969,Q4 2021,REAL ESTATE,13F,12/31/2021,101.78,100.54
Liberty media corp series a,FWONA,"",658030.0,39048000.0,0.00802506,,1082,658030.0,,new,2.5468959,Q4 2021,COMMUNICATIONS,13F,12/31/2021,59.34,62.19
Maravai lifesciences holdings  inc.,MRVI,"",931729.0,39039000.0,0.00802321,,1083,931729.0,,new,0.7085964,Q4 2021,HEALTH CARE,13F,12/31/2021,41.9,35.95
Grifols s.a. adr,GRFS,"",3469150.0,38959000.0,0.00800677,,1084,3469150.0,,new,1.3270154,Q4 2021,HEALTH CARE,13F,12/31/2021,11.23,10.76
Procore technologies inc,PCOR,"",486250.0,38885000.0,0.00799156,,1085,486250.0,,new,0.3683209,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,79.97,54.04
Neogen corp.,NEOG,"",855053.0,38828000.0,0.00797985,,1086,855053.0,,new,0.7934176,Q4 2021,HEALTH CARE,13F,12/31/2021,45.41,30.06
Coty inc.,COTY,"",3689261.0,38737000.0,0.00796115,,1087,3689261.0,,new,0.4507474,Q4 2021,CONSUMER STAPLES,13F,12/31/2021,10.5,8.56
Herc holdings inc,HRI,"",245980.0,38508000.0,0.00791408,,1088,245980.0,,new,0.8282151,Q4 2021,TRANSPORTS,13F,12/31/2021,156.55,145.8
American eagle outfitters inc,AEO,"",1519315.0,38469000.0,0.00790607,,1089,1519315.0,,new,0.8998420,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,25.32,17.5
Ke holdings inc.,BEKE,"",1911033.0,38450000.0,0.00790216,,1090,1911033.0,,new,0.2118731,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,20.12,14.04
Beyond meat inc,BYND,"",587119.0,38257000.0,0.0078625,,1091,587119.0,,new,1.9888799,Q4 2021,CONSUMER STAPLES,13F,12/31/2021,65.16,43.01
United bankshares  inc.,UBSI,"",1054253.0,38248000.0,0.00786065,,1092,1054253.0,,new,0.7722247,Q4 2021,FINANCE,13F,12/31/2021,36.28,34.17
Chart industries inc,GTLS,"",239693.0,38229000.0,0.00785674,,1093,239693.0,,new,0.6549301,Q4 2021,INDUSTRIALS,13F,12/31/2021,159.49,179.02
Macys inc,M,"",1457336.0,38153000.0,0.00784112,,1094,1457336.0,,new,0.4869646,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,26.18,25.8
Aci worldwide inc. (transaction systems architects),ACIW,"",1099070.0,38138000.0,0.00783804,,1095,1099070.0,,new,0.9551843,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,34.7,27.49
F.n.b. corp.,FNB,"",3143346.0,38129000.0,0.00783619,,1096,3143346.0,,new,0.9855977,Q4 2021,FINANCE,13F,12/31/2021,12.13,12.11
Physicians realty trust,DOC,"",2020430.0,38045000.0,0.00781893,,1097,2020430.0,,new,0.8964197,Q4 2021,REAL ESTATE,13F,12/31/2021,18.83,17.64
Terex corp. (northwest engineering co.),TEX,"",864728.0,38005000.0,0.00781071,,1098,864728.0,,new,1.2406428,Q4 2021,INDUSTRIALS,13F,12/31/2021,43.95,34.81
Msc industrial direct  inc.,MSM,"",450405.0,37861000.0,0.00778111,,1099,450405.0,,new,0.9555296,Q4 2021,INDUSTRIALS,13F,12/31/2021,84.06,85.02
Liberty sirius xm group  series a,LSXMA,"",743925.0,37829000.0,0.00777454,,1100,743925.0,,new,0.7635824,Q4 2021,COMMUNICATIONS,13F,12/31/2021,50.85,45.38
Kinross gold corp. adr,KGC,"",6499115.0,37753000.0,0.00775892,,1101,6499115.0,,new,0.5018279,Q4 2021,MATERIALS,13F,12/31/2021,5.81,6.14
Denali therapeutics inc,DNLI,"",846109.0,37736000.0,0.00775542,,1102,846109.0,,new,0.6888266,Q4 2021,HEALTH CARE,13F,12/31/2021,44.6,30.11
Verint systems inc,VRNT,"",714391.0,37513000.0,0.00770959,,1103,714391.0,,new,1.0872905,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,52.51,53.03
Moelis & co,MC,"",598154.0,37391000.0,0.00768452,,1104,598154.0,,new,0.9577750,Q4 2021,FINANCE,13F,12/31/2021,62.51,45.15
Envista holdings corp,NVST,"",829213.0,37364000.0,0.00767897,,1105,829213.0,,new,0.5124102,Q4 2021,HEALTH CARE,13F,12/31/2021,45.06,45.84
Hilton grand vacations inc,HGV,"",716947.0,37360000.0,0.00767815,,1106,716947.0,,new,0.5968199,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,52.11,49.28
Flowers foods,FLO,"",1358437.0,37316000.0,0.0076691,,1107,1358437.0,,new,0.6421758,Q4 2021,CONSUMER STAPLES,13F,12/31/2021,27.47,26.78
Resideo technologies inc,REZI,"",1432518.0,37288000.0,0.00766335,,1108,1432518.0,,new,0.9878162,Q4 2021,INDUSTRIALS,13F,12/31/2021,26.03,22.83
Staar surgical co.,STAA,"",407212.0,37178000.0,0.00764074,,1109,407212.0,,new,0.8527167,Q4 2021,HEALTH CARE,13F,12/31/2021,91.3,61.89
Hannon armstrong sustainable infrastructure capital  inc.,HASI,"",699203.0,37142000.0,0.00763334,,1110,699203.0,,new,0.8175869,Q4 2021,REAL ESTATE,13F,12/31/2021,53.12,43.58
